x-coordinate,y-coordinate
0.617687,0.295736
1.701787,-0.484907
-0.601776,0.135209
1.754804,1.917489
-0.685865,1.736202
1.253182,-0.621647
0.616908,-0.357323
-0.802749,0.081881
-0.37272,0.354616
1.763242,0.59927
0.140654,0.674287
-0.502885,-0.414158
1.95113,0.383568
-0.154659,-0.371973
1.118498,-0.534887
0.894055,-0.773873
1.816007,0.429676
-0.532774,-0.514884
1.500629,0.888055
-0.756466,1.340054
-0.528186,0.07998
-0.238579,0.697372
1.129397,1.7365
0.953844,1.170966
1.882814,-0.145999
-0.191792,-0.227009
0.672107,1.892895
0.454591,0.754663
-0.972712,1.11957
0.345534,1.603682
0.503453,1.815194
0.278789,0.892523
0.304558,1.070469
-0.957946,1.435457
-0.939928,0.480528
0.752575,1.025169
0.808871,-0.061862
-0.380788,-0.685468
1.937197,1.392097
-0.668823,-0.116182
1.761255,-0.12485
0.436473,0.066946
0.547543,-0.205357
-0.876519,0.991598
0.391894,1.611848
-0.461743,0.654658
-0.601081,1.073029
0.08697,0.801363
0.192207,0.847642
1.077269,0.185611
0.907024,1.921134
1.128919,1.805096
-0.084284,0.690228
1.437081,-0.446229
-0.322131,-0.376066
1.440406,1.319564
-0.522557,0.690853
0.02997,1.919026
0.327285,-0.79502
-0.566952,1.571313
0.417223,-0.560146
1.460961,1.807746
0.676511,-0.334065
1.406916,0.209426
1.092309,0.536103
1.06153,1.439597
1.307108,-0.907439
-0.16853,0.578664
1.871493,0.831835
0.710368,1.657467
1.149254,0.647322
-0.01198,-0.768525
1.821544,0.227328
-0.404827,0.423838
0.784863,1.410368
0.977697,1.232956
-0.504654,-0.65578
-0.005011,1.037149
-0.582713,1.562563
1.380803,1.056155
-0.520332,1.457666
0.903222,0.101347
-0.785717,0.087277
1.331031,-0.847431
1.959315,1.026225
-0.70226,0.312427
0.865127,0.911976
-0.547845,1.676186
-0.380261,1.899224
0.965601,-0.922098
1.651425,-0.877556
-0.456559,-0.941558
0.549962,1.813267
1.675719,0.84231
0.893131,0.32264
0.868353,-0.923998
1.420316,-0.605175
-0.925092,0.907919
0.775347,1.211414
-0.9501,1.036173
1.1503,0.838012
0.783953,-0.881993
1.630266,1.544028
-0.220676,-0.596061
0.915303,0.716513
0.502577,0.711787
0.07845,1.377228
0.262224,1.636925
-0.164926,1.223674
0.010908,1.624658
0.611222,-0.327055
-0.339034,0.575874
0.919932,1.0829
-0.018126,-0.039122
1.996313,0.357698
1.146959,0.039715
-0.281165,-0.588058
1.565085,-0.724792
1.768604,0.836377
-0.020448,-0.151959
-0.491711,1.350541
1.565197,1.621447
-0.705648,1.642512
0.400832,1.697768
0.507284,0.307582
0.531126,-0.481782
1.188968,0.079917
-0.679214,1.932077
1.570134,1.036714
-0.140678,0.58414
-0.866787,1.086453
-0.347,-0.000822
1.979038,0.12041
1.084154,-0.366221
0.550917,0.008887
-0.776232,0.373815
0.134886,0.962933
-0.214333,-0.588408
-0.768205,-0.583992
1.713934,0.192924
-0.389362,-0.172819
1.476132,1.351205
1.007755,-0.433013
1.094315,1.725912
1.287614,0.11235
1.568665,-0.746454
0.426502,1.323171
1.013636,1.051969
1.87049,-0.427342
0.199775,-0.549482
0.490544,1.564703
0.276252,1.453745
-0.936944,-0.027933
1.744032,0.242085
0.701511,-0.905722
-0.4558,-0.330332
0.903107,0.394584
1.772071,-0.486607
1.608011,0.168067
0.204761,0.857367
0.011047,1.744329
1.073242,0.831649
-0.556934,0.725461
-0.769278,0.608626
0.869382,0.39077
0.857711,-0.73666
-0.151619,-0.973884
0.02479,-0.483176
-0.366859,-0.515425
1.129325,0.049973
1.179355,0.740816
1.921881,0.12997
-0.03924,0.060952
-0.234549,0.846412
1.17788,0.026679
-0.535438,1.282441
1.153322,1.831113
0.144601,-0.217144
0.755379,1.532046
0.559916,0.129825
0.906561,0.370026
-0.766855,0.702636
-0.033085,-0.92422
-0.307611,1.023087
-0.695616,1.941277
-0.85613,1.619258
0.442324,0.228924
0.920747,0.152063
1.515434,-0.106797
1.44443,0.021464
-0.710046,-0.126535
0.159862,-0.226181
0.26071,1.554116
1.55939,0.405106
1.765162,0.985804
1.217756,0.739144
0.645204,-0.667884
-0.9167,1.953578
-0.541778,-0.484702
0.405359,0.840012
